宣传标语,楼盘链接,面积|m2,房型,楼盘描述,均价|元/m2,总价|万
《皇牌代理》红本 万象城 地铁口 嘉宾花园漂亮三房业主有心卖,http://shenzhen.anjuke.com/prop/view/A775289667,87,3室1厅,嘉宾花园  [罗湖-人民南 宝安南路1050号],49076,87
地铁口房子装修很好 满五年159平米仅售460万,http://shenzhen.anjuke.com/prop/view/A773296587,159,5室2厅,中海西岸华府北区  [宝安-松岗 朗碧路],28930,159
东门168一室一厅东南朝向满五年红本,http://shenzhen.anjuke.com/prop/view/A772643283,40,1室1厅,东门168  [罗湖-东门 中兴路],53817,40
珠江花园 电梯中高层 送家私电器,http://guangzhou.anjuke.com/prop/view/A778012682,101,3室2厅,珠江花园  [番禺-大石 沙溪大道282号],25742,101
时代长岛升 值潜力的区域 带精 装南沙自贸区未来的珠江新城,http://guangzhou.anjuke.com/prop/view/A780413574,95,3室2厅,时代长岛  [南沙-南沙 进港大道377号],16842,95
京溪小区 地铁物业 学位房 精装修 带家私电器 配套成熟,http://guangzhou.anjuke.com/prop/view/A772711764,68,2室2厅,京溪小区  [白云-同和 京溪路],9037,68
"金湖雅苑 55.5平标准2室,小窝照样温馨 给你的她一个家",http://guangzhou.anjuke.com/prop/view/A769114938,55,2室2厅,金湖雅苑  [白云-同和 沙太北路320号],17090,55
广州雅居乐花园 新地 南北对流大三房 少税费,http://guangzhou.anjuke.com/prop/view/A779131770,120,3室2厅,广州雅居乐花园  [番禺-广州雅居乐花园 兴南大道398号],37500,120
锦绣香江山水园东南向望园景过2年保养新学位房地铁房,http://guangzhou.anjuke.com/prop/view/A773097125,115,3室2厅,锦绣香江山水园  [番禺-华南 番禺区南村镇锦绣路138号],33565,115
御江南临三水中心繁华地段江景楼盘不限购佛山欢迎你,http://guangzhou.anjuke.com/prop/view/A781623705,96,3室2厅,御江南  [广州周边-广州周边 金泉大道3号],9479,96
岭南新世界 三房南北双阳台 温馨舒适 送豪华装修 至笋一套,http://guangzhou.anjuke.com/prop/view/A775875061,115,3室2厅,岭南新世界  [白云-白云大道 新顺路],36521,115
林海好位置三房两卫出售，高层景观房，新装修，业主急售！！！,http://guangzhou.anjuke.com/prop/view/A765586025,105,3室2厅,保利林海山庄  [天河-龙洞 天源路],36666,105
恒大御景半岛 玉兰湖江边独栋别墅 超大花园一手内部转名,http://guangzhou.anjuke.com/prop/view/A771500114,551,5室2厅,恒大御景半岛（别墅）  [白云-金沙洲 金沙洲大桥沿江北段],30852,551
誉峰 南向靓景大三房 带入户花园 证过5年 诚意出售,http://guangzhou.anjuke.com/prop/view/A757718593,205,3室2厅,誉峰  [天河-珠江新城 金穗路711号],73170,205
家和天曜 奥体唯一的商业综合体 住家户型 中空复试 三地铁上,http://guangzhou.anjuke.com/prop/view/A781873290,46,2室2厅,家和天曜(珠吉路)  [天河-车陂 近珠吉路],30000,46
汇信华府 总价低 给您一个温馨的家,http://guangzhou.anjuke.com/prop/view/A782070752,50,1室1厅,汇信华府  [广州周边-广州周边 西青大道与北江大道交汇处],9600,50
新城雅居大三房  满五唯一税费低+业主诚心送车位 朝向光线好,http://guangzhou.anjuke.com/prop/view/A735549116,100,3室2厅,丰乐苑  [天河-珠江新城 潭乐街102-120号],40000,100
增城**旁边。顺欣广场3大房出售采光好通风透气,http://guangzhou.anjuke.com/prop/view/A756861391,105,3室2厅,顺欣广场  [增城-新塘 荔新大道],12857,105
三水万达广场  首付15万做业主 带学位 业主急售 房保养好,http://guangzhou.anjuke.com/prop/view/A781822188,89,3室2厅,三水万达广场  [广州周边-广州周边 南丰大道与翠云路交界处],8988,89
保利红棉花园 十八年成熟配套 温馨实用小三房,http://guangzhou.anjuke.com/prop/view/A779803062,76,3室1厅,保利红棉花园  [海珠-江燕路 江燕路353号],18157,76
湖边美墅、有小路径直通山姆、240方五房900万、买少见少,http://guangzhou.anjuke.com/prop/view/A778452862,240,5室2厅,华南碧桂园  [番禺-华南碧桂园 迎宾路],37500,240
翠湖山庄 方正三房 安静户型 交通便利,http://guangzhou.anjuke.com/prop/view/A767786851,146,3室2厅,翠湖山庄  [天河-员村 黄埔大道萝斗岗1号],44520,146
原生态大盘，环境优美，配套成熟！,http://guangzhou.anjuke.com/prop/view/A777107965,96,3室2厅,御江南  [广州周边-广州周边 金泉大道3号],8958,96
万达广场旁，双地铁环绕，成熟商圈，带省级学位，不限购可入户,http://guangzhou.anjuke.com/prop/view/A777416485,96,3室2厅,御江南  [广州周边-广州周边 金泉大道3号],9583,96
恒荔湾畔 南北对流 实用3房带主套 附带省级学位 免税,http://guangzhou.anjuke.com/prop/view/A781765560,118,3室2厅,恒荔湾畔  [荔湾-芳村 芳村大道344-360号],42372,118
曾经的梦想，如今的好房，只要420万元，值得拥有,http://guangzhou.anjuke.com/prop/view/A778008581,80,2室2厅,嘉和苑  [越秀-东风东 东风西路148号],52500,80
麒麟广场精装修不到80万，商住两用生活十分便捷不限购不限贷,http://guangzhou.anjuke.com/prop/view/A767645542,59,3室2厅,"麒麟广场(黄阁大道南)  [南沙-南沙 黄阁大道南,近宝田街]",13898,59
富力现代广场新放盘单位望花园 650万舒适大户型带入户花园,http://guangzhou.anjuke.com/prop/view/A761766180,165,5室2厅,富力现代广场  [海珠-工业大道北 工业大道76-78号],39393,165
名汇商业大厦 三阳台 东南向 通风光线好 改善住家,http://guangzhou.anjuke.com/prop/view/A769648463,113,3室2厅,名汇大厦  [荔湾-西关 下九路63号],31858,113
全新一手楼盘！70年公寓买一层送一层！ 双地铁！ 即买即返租,http://guangzhou.anjuke.com/prop/view/A778410310,49,3室1厅,南沙滨海半岛  [南沙-南沙 环市大道西483号],18367,49
保利花城 实用率高的4房2厅户型 自住舒适皆宜的房,http://guangzhou.anjuke.com/prop/view/A749722362,180,4室2厅,保利花城  [花都-新区 三东大道西],15000,180
*归来，万科山景城热卖中，房源多选择！,http://guangzhou.anjuke.com/prop/view/A737101832,84,3室2厅,万科山景城  [黄埔-黄埔区府 长岭路],20238,84
金碧翡翠华庭 恒大物业 龙口西小学 真正园林小区 华师,http://guangzhou.anjuke.com/prop/view/A762618046,83,2室2厅,金碧翡翠华庭  [天河-天河北 天润路467号],68402,83
广州雅居乐花园一尺山居 顶楼复式 景观好房 带超大露台,http://guangzhou.anjuke.com/prop/view/A781623810,170,4室2厅,广州雅居乐花园一尺山居(兴南大道398号)  [番禺-广州雅居乐花园 兴南大道398号],28823,170
华府一期230方+380方花园豪宅 有匙即看,http://guangzhou.anjuke.com/prop/view/A762720406,230,5室2厅,锦绣香江山水华府  [番禺-华南 华南干线迎宾路长隆夜间动物世界南侧],38260,230
广州雅居乐花园新地朝向：南北通透豪华装修,http://guangzhou.anjuke.com/prop/view/A778811877,136,4室2厅,广州雅居乐花园新地  [番禺-广州雅居乐花园 番禺南村镇兴南大道398号],32058,136
首付15万就可以买到省商业中心三房俩厅俩卫住宅,http://guangzhou.anjuke.com/prop/view/A777634940,112,3室2厅,都市经典(鹤峰路1号)  [广州周边-广州周边 鹤峰路1号],8928,112
四季金谷 悦享四季繁华 有家有爱有别墅,http://guangzhou.anjuke.com/prop/view/A766531874,215,4室2厅,四季金谷  [广州周边-广州周边 镜湖大道与广花路交界处],5581,215
盈翠雅筑一手笋盘别墅急售更有便宜叠墅联排双拼 单价只需一万多,http://guangzhou.anjuke.com/prop/view/A781669213,209,4室3厅,"合盛盈翠雅筑(增派公路)  [增城-荔城 增派公路,近256省道]",11004,209
zhen价！骏景花园北苑3期 南向正3房 经典精致户型,http://guangzhou.anjuke.com/prop/view/A778902536,98,3室2厅,骏景花园  [天河-车陂 中山大道190号],48469,98
小三房带装修望花园价格便宜,http://guangzhou.anjuke.com/prop/view/A764083146,99,3室2厅,翡翠绿洲湖绣苑（埔南路）  [增城-广园东 埔南路],24242,99
格局方正，双南设计，全明通透，豪华气派彰显无疑。,http://guangzhou.anjuke.com/prop/view/A729045106,114,3室2厅,"香江国际(工业大街)  [广州周边-广州周边 工业大街,近体育东路]",5964,114
东山口 稀有电梯楼 锦桦大厦单位放售,http://guangzhou.anjuke.com/prop/view/A778957735,109,3室2厅,锦华大厦  [越秀-东川路 东川路],55045,109
锦绣银湾 新政到了 业主诚意出售  中高层 300万 有钥匙,http://guangzhou.anjuke.com/prop/view/A781738500,125,3室2厅,锦绣银湾  [番禺-大石 朝阳东路423-425号],24096,125
观望是没有结果的，该出手时就出手 这才是硬道理,http://guangzhou.anjuke.com/prop/view/A755316468,90,2室2厅,金泽豪庭  [增城-新塘 金泽路1号],21111,90
建设二马路 精致两房,http://guangzhou.anjuke.com/prop/view/A772699547,74,2室1厅,建设二马路小区  [越秀-建设路 建设二马路],40420,74
金湖翡翠谷别墅 靠山望湖 南向景观阳台 格局方正 全新未住,http://guangzhou.anjuke.com/prop/view/A769967222,201,5室2厅,金湖翡翠谷  [天河-沙太 沙太北路938号],39303,201
合景天峻价格真实 复式公寓 买一层送一层地铁旺村站年底通车,http://guangzhou.anjuke.com/prop/view/A780711778,41,2室2厅,合景天峻  [黄埔-黄埔区府 九龙大道],15121,41
"中兴花园,复式四房,格局好,,环境优美,配套完善",http://guangzhou.anjuke.com/prop/view/A782172169,79,4室2厅,中兴花园  [天河-东圃 中山大道中1104号],34810,79
富力广场S区御花园四房放盘 住家推介,http://guangzhou.anjuke.com/prop/view/A778700281,162,4室2厅,富力广场  [荔湾-中山八路 龙津西路313号],38271,162
机场路 万方园电梯1房 格局方正 通风采光 产权清晰 随时约,http://guangzhou.anjuke.com/prop/view/A760693717,44,1室,万方园  [白云-机场路 远景路],19545,44
主要看气质 白天鹅花园满分户型南北通透精致3房决定放卖了,http://guangzhou.anjuke.com/prop/view/A731203949,103,3室2厅,广州白天鹅花园东区  [白云-同和 中成路],27669,103
明月二巷 交通方便 格局方正 标准三房 看房方便,http://guangzhou.anjuke.com/prop/view/A778095113,66,3室1厅,明月二巷小区  [越秀-五羊新城 明月二路],45454,66
南北对流望湖望花园 安静 业主在外地忙，回来就要签约了,http://guangzhou.anjuke.com/prop/view/A781623772,143,4室2厅,万科府前一号  [南沙-南沙 丰泽西路],18181,143
东港花园 楼龄新 近地铁 带精装修 过两年 产权清晰,http://guangzhou.anjuke.com/prop/view/A779599227,99,3室2厅,东港花园  [黄埔-黄埔区府 文船路363号],32202,99
海伦堡精致小两房 电梯中层景观好 带装修即时入住,http://guangzhou.anjuke.com/prop/view/A782167086,63,2室2厅,中颐海伦堡御院  [番禺-市桥南 南华路190号],23015,63
格局方正，双南设计，全明通透，豪华气派彰显无疑,http://guangzhou.anjuke.com/prop/view/A760780482,90,2室2厅,黄圃蓝天金地  [广州周边-广州周边 新丰北路与建业路交界处],7222,90
大石海滨花园 电梯复式 156平米280万 带露台 豪华装修,http://guangzhou.anjuke.com/prop/view/A772758752,156,4室2厅,上漖海滨花园  [番禺-大石 沿江路],17948,156
车耀荟商城 包租三年合约 保底1万月租 独立产权 坐拥收租,http://guangzhou.anjuke.com/prop/view/A779688588,10,1室1厅,永福路1号大院  [越秀-黄花岗 永福路],45000,10
万科欧泊 稀有高层大两房全新未住过 过两年免重税 业主诚意卖,http://guangzhou.anjuke.com/prop/view/A775826092,80,2室2厅,万科红郡  [番禺-华南 汉溪大道东],33750,80
雅居乐私房急售！广州雅居乐花园精装修普通住宅150平,http://guangzhou.anjuke.com/prop/view/A782114311,150,4室2厅,广州雅居乐花园  [番禺-广州雅居乐花园 兴南大道398号],29000,150
高新区  轻轨旁 城市综合体   带装修  景观房,http://guangzhou.anjuke.com/prop/view/A780425358,58,2室2厅,大旺珠影广场  [荔湾-芳村 工业大道北面和体育东路西侧交汇处],8275,58
豪利花园南向望花园学校就在家门口现南向仅售150万,http://guangzhou.anjuke.com/prop/view/A739556795,100,3室2厅,豪利花园  [花都-镜湖大道 镜湖大道18号],15000,100
花样年花样城 精装小户型 南北通透 金银湖湿地公园毗邻,http://wuhan.anjuke.com/prop/view/A762790788,87,3室1厅,花样年花样城  [东西湖-金银湖 柏环一路6号],9540,87
ICC铂庭+汉口内环高端住宅+可用公积金贷款+全景落地窗,http://wuhan.anjuke.com/prop/view/A761489892,99,2室2厅,华发中城荟  [江汉-王家墩 淮海路],31313,99
好房源！陈家墩中装两房 通透户型 阳光楼层 两证无税！,http://wuhan.anjuke.com/prop/view/A747569424,62,2室2厅,古南社区陈家墩小区  [硚口-古田 古田二路523号],11612,62
名湖豪庭小三房，全视角湖景房， 精巧户型适合刚需，中间位置,http://wuhan.anjuke.com/prop/view/A778156271,106,3室2厅,锦绣龙城H区  [洪山-光谷关山 民族大道888号],14622,106
14年的装修 三房 中间楼层 南北通透,http://wuhan.anjuke.com/prop/view/A773206517,96,3室2厅,保利公园九里一至四期  [洪山- 南湖路],16621,96
保利海上花 精装两房 . 温馨舒适有[钥匙 随时看房.],http://wuhan.anjuke.com/prop/view/A770685107,75,2室2厅,保利海上五月花  [江夏-庙山 江夏大道88号],10533,75
光谷悦城旁《城市之光+光谷火车站旁+双地铁口+精装修采光超好,http://wuhan.anjuke.com/prop/view/A766260137,79,2室2厅,城市之光(江夏)  [洪山-光谷关山 光谷一路],15316,79
百盛春天精装大三房，户型方正南北通透一梯两户诚心出售,http://wuhan.anjuke.com/prop/view/A759943145,112,3室2厅,百胜春天  [江岸-后湖 金桥大道42号],14732,112
星悦城一期 精装三房 有露台 满两年  看房联系,http://wuhan.anjuke.com/prop/view/A756780167,96,3室2厅,星悦城  [江岸-后湖 秋桂路],15339,96
金银湖地铁站 裕亚银湖城一期双卫大三房 全房实木地板,http://wuhan.anjuke.com/prop/view/A751270793,135,3室2厅,裕亚银湖城  [东西湖-金银湖 金银湖路],12989,135
复地优质两房送一房 南北通透 精装三房 人车分流,http://wuhan.anjuke.com/prop/view/A774853624,98,3室2厅,复地东湖国际1期  [武昌-中北路 中北路118号],44774,98
地铁口，当代卡梅尔小镇，精装两房，性价比高，家具家电全送,http://wuhan.anjuke.com/prop/view/A773580028,79,2室1厅,当代卡梅尔小镇  [洪山-光谷关山 杨桥湖大道10号],14936,79
中南民族大学旁 单身公寓 单价低 不限购,http://wuhan.anjuke.com/prop/view/A771568552,37,1室1厅,"金地雄楚寓(荣院路)  [洪山-光谷关山 荣院路,近楚雄大街]",13513,37
菩提苑小两房纯毛坯房东急卖,http://wuhan.anjuke.com/prop/view/A765408130,86,2室2厅,菩提苑  [江夏-纸坊 环湖路],11162,86
华侨城专员专注纯水岸东湖双拼别墅豪华装修低调奢华一线湖景,http://wuhan.anjuke.com/prop/view/A759695505,389,5室2厅,纯水岸·东湖别墅  [武昌-东湖东亭 武昌东湖生态旅游风景区欢乐大道166号（华侨城公交场站附近）],115681,389
沙湖边上 直连沙湖公园 实用大3房 武昌核心 交通便利,http://wuhan.anjuke.com/prop/view/A779652819,128,3室2厅,沙湖金港苑  [武昌-小东门 武车路],19937,128
晋合金桥世家 复式两层 高档小区 宽敞明亮 送两车位,http://wuhan.anjuke.com/prop/view/A771531501,447,5室4厅,晋合金桥世家  [江岸-后湖 金桥大道68号],21252,447
麻雀虽小五脏俱全 泛海国际CBD 楚天金园 时尚住宅小户型,http://wuhan.anjuke.com/prop/view/A763694595,51,1室1厅,楚天都市金园  [江汉-复兴村常码头 复兴村57号],17384,51
名流人和天地 学区房 大两房带装修，绝好地段,http://wuhan.anjuke.com/prop/view/A758857011,95,2室2厅,名流人和天地广和园  [黄陂-盘龙城 巨龙大道88号],7894,95
当代国际花园，精装小两房，两证两年，学位未用过，低于市场价！,http://wuhan.anjuke.com/prop/view/A756589557,59,2室2厅,当代国际花园  [洪山-光谷关山 光谷大道78号],17966,59
雄楚大道鹿鸣苑学区房87平两房精装145万送家具家电,http://wuhan.anjuke.com/prop/view/A750859401,87,2室2厅,鹿鸣苑  [洪山-卓刀泉 卓刀泉南路119号],16666,87
光谷首，府开发区中心楼盘 市政公园中百仓储301公交站旁,http://wuhan.anjuke.com/prop/view/A750619227,96,3室2厅,绿苑星家  [洪山-光谷关山 葛店开发区创业大道],3489,96
零 公摊 优质南北通透精装大三房 地铁口 东临野芷湖畔 诚售,http://wuhan.anjuke.com/prop/view/A775769198,115,3室2厅,保利心语东区  [洪山-珞狮南路 野芷湖西路],16956,115
海滨城好楼层 精装两房 两证满两年 ！房东急售,http://wuhan.anjuke.com/prop/view/A769585928,88,2室2厅,海滨城花园  [沌口开发区-后官湖大道 海滨城路2号],8409,88
天顺园7组团房东诚心出售有钥匙随时看房复式98.5平,http://wuhan.anjuke.com/prop/view/A752697482,99,3室2厅,天顺园西1区  [硚口-古田 长风路],10152,99
汉阳大道沿线的三房  中间楼层  南北通透！,http://wuhan.anjuke.com/prop/view/A762768085,111,3室2厅,雅丽花园(汉钢路)  [汉阳-七里庙 汉钢路2号],11690,111
汉口花园逸松庭40万装修，复式大五房,http://wuhan.anjuke.com/prop/view/A747641467,132,5室2厅,汉口花园二期  [江汉-杨汊湖 杨汊湖西距新华下路270米],18576,132
松涛苑D区，两证满二小三房，采光良好，对口一小,http://wuhan.anjuke.com/prop/view/A774286362,91,3室2厅,松涛苑(瑞安街)  [武昌-南湖花园 瑞安街224号],15904,91
兆丰花园 大3房 清水装修 步行即可达到轻轨,http://wuhan.anjuke.com/prop/view/A773683608,142,3室2厅,兆丰花园  [东西湖-吴家山 田园街148号],11267,142
"观望是没有结果的,该出手时就出手,这才是硬道理 山水星辰学区",http://wuhan.anjuke.com/prop/view/A767620182,129,3室2厅,山水星辰  [东西湖-吴家山 东吴大道645号],12558,129
松海园南北通透大三房  开发商精装,http://wuhan.anjuke.com/prop/view/A767191698,138,3室2厅,泛海国际居住区竹海园  [江汉-王家墩 淮海路],33976,138
交通方便，周边辐射广，医院、超市、菜市场、银行、学校,http://wuhan.anjuke.com/prop/view/A755240442,94,2室2厅,绿景花园  [青山-钢都花园 园林路75号],14893,94
恒大名都，一线湖景房，129平仅售120万，中上楼层，,http://wuhan.anjuke.com/prop/view/A744347760,129,3室2厅,恒大名都  [黄陂-盘龙城 巨龙大道33号],10077,129
沿海赛洛城  精装  两证满二  南北通透,http://wuhan.anjuke.com/prop/view/A739605990,83,3室2厅,沿海赛洛城四期  [东西湖-吴家山 张柏路],11404,83
急售虎泉地铁陈家湾领秀城后学雅芳邻精装一室一厅两证齐全!,http://wuhan.anjuke.com/prop/view/A772599563,63,1室1厅,学雅芳邻  [洪山-卓刀泉 卓刀泉南路],16666,63
华锦三期三房两厅两卫 两证满二少后期  拎包入住更轻松,http://wuhan.anjuke.com/prop/view/A777332471,127,3室2厅,南湖华锦春天故事  [武昌-南湖花园 富安街],17165,127
邮电社区  2室 2厅 1卫 104.13平方 200万元,http://wuhan.anjuke.com/prop/view/A770542523,104,2室2厅,北湖邮电公寓  [江岸-江汉路 新华下路附2号],19206,104
汉阳区联排双拼大别墅  优质的湖景别墅  卧龙墨水湖边,http://wuhan.anjuke.com/prop/view/A766426403,311,5室3厅,卧龙墨水湖边  [汉阳-四新 江城大道],30013,311
地铁口精装三房，两证两年免税，东西全送，诚心出售。,http://wuhan.anjuke.com/prop/view/A766421213,124,3室2厅,珩生领袖城  [黄陂-盘龙城 盘龙大道],8870,124
三阳路融科天城板式复式楼拎包入住南北通透采光,http://wuhan.anjuke.com/prop/view/A758483975,251,5室2厅,融科天城一期  [江岸-三阳路 解放南路168号],27091,251
和平大道 绿地国际金融城名邸 三房 阔绰客厅 超大阳台 交通,http://wuhan.anjuke.com/prop/view/A752601503,145,3室2厅,绿地国际金融城  [武昌-积玉桥 和平大道840号],26758,145
滨江苑一期 对口长椿街小学 精装两房 老证无税！,http://wuhan.anjuke.com/prop/view/A752346905,90,2室2厅,滨江苑  [江岸-黄埔惠济 胜利街300号],29555,90
武昌中北路世纪彩城通透中装地铁口3房满两年出售,http://wuhan.anjuke.com/prop/view/A778597252,128,3室2厅,世纪彩城  [武昌-中北路 中北路151号],21936,128
循礼门地铁旁 三房两厅 精装 老证 过户费低 有钥匙！！！,http://wuhan.anjuke.com/prop/view/A763187554,146,3室2厅,德润大厦  [江岸-江汉路 黄石路9号],15463,146
精装修，新房上架。咫.尺地铁站口。还犹豫吗,http://wuhan.anjuke.com/prop/view/A750761752,93,3室2厅,武汉恒大城一期  [东西湖-金银湖 环湖路43号],9677,93
中山路小学学区房 欣隆紫阳苑 优质小户型  仅此一套！,http://wuhan.anjuke.com/prop/view/A774410583,70,2室1厅,欣隆紫阳苑  [武昌-阅马场首义 张之洞路280号],23571,70
汉阳二环 绿地珑墅 豪华湖景别墅 总价不到300万,http://wuhan.anjuke.com/prop/view/A773377887,136,4室2厅,绿地中央广场  [汉阳-四新 梅林西路],24176,136
清盘特卖 全城唯一的DI价优质房 先到先得 速速来咨询选购,http://wuhan.anjuke.com/prop/view/A772790895,95,3室2厅,德福中央成  [洪山-光谷关山 葛店开发区葛洪大道735号],2631,95
对口光谷一小，光谷新世界两证南北通透三房中间楼层,http://wuhan.anjuke.com/prop/view/A765404655,101,3室2厅,光谷新世界  [洪山-光谷关山 新竹路31号],25734,101
二号线宝通寺站 亚贸后面 对口武珞路 小学 通透两房 满二,http://wuhan.anjuke.com/prop/view/A762434937,61,2室1厅,石牌园社区  [洪山-街道口 石牌岭路],15737,61
万科嘉园 只要你看了合适，价格都不是问题，居住 ！,http://wuhan.anjuke.com/prop/view/A761157099,93,3室2厅,万科嘉园  [洪山-光谷关山 光谷一路],17526,93
满五 无税费 2房变3房 2房的价格3房的功能 性价比高,http://wuhan.anjuke.com/prop/view/A759074433,87,2室2厅,南湖名都A区  [武昌-南湖花园 文馨街],17241,87
大智路轻轨旁球新社区正规小两房 户型方正 采光好 急售~,http://wuhan.anjuke.com/prop/view/A757713627,43,2室1厅,球新社区  [江岸-三阳路 京汉大道917附3号],16279,43
摩卡小镇精装两房，两证满五唯一0税，地铁房，学区房,http://wuhan.anjuke.com/prop/view/A766133756,87,2室2厅,鼎鑫摩卡小镇  [黄陂-盘龙城 露甲山路3号],9425,87
只要你来看就会买的碧桂园泰富城,http://wuhan.anjuke.com/prop/view/A764014718,58,3室1厅,"碧桂园泰富城(海棠路)  [汉阳-沌口 海棠路,近三环路]",14310,58
东湖风景区 东湖山庄 梨园广场附近 梨园地铁口 平层复室,http://wuhan.anjuke.com/prop/view/A749780612,186,4室4厅,东湖山庄  [武昌-东湖东亭 东湖路180号],19827,186
卓尔生活城，93平大2房精装，欢迎致电,http://wuhan.anjuke.com/prop/view/A748667108,93,2室2厅,汉口北卓尔生活城  [黄陂-盘龙城 汉口北大道特1号],9139,93
简装两房一楼带院子南北通透诚心出售,http://wuhan.anjuke.com/prop/view/A736362691,89,2室2厅,卧龙丽景湾香山苑  [东西湖-金银湖 金南一路特1号],15483,89
徐东蓝晶绿洲 地铁口 婚房装修 实际比图片多了！！,http://wuhan.anjuke.com/prop/view/A781741675,47,1室1厅,蓝晶绿洲  [武昌-徐东 杨园南路41号],21276,47
中间楼层舒适通透三房，等你来选,http://wuhan.anjuke.com/prop/view/A765418915,123,3室1厅,胭脂山庄  [武昌-司门口 履坦巷18号],16220,123
不限购，地铁房，省税费，全新装修，价格可谈，看房提前约,http://beijing.anjuke.com/prop/view/A769225415,65,1室1厅,国锐金嵿  [大兴-亦庄 荣华中路],62742,65
新上价可谈+南北通透+豪华装修+满五唯壹+陈经纶九年连读,http://beijing.anjuke.com/prop/view/A768177971,176,3室2厅,东湖湾一期  [朝阳-望京 望京西路],121854,176
东环路两居  拎包入住婚房 临近三街小学 昌平一中 近乘铁,http://beijing.anjuke.com/prop/view/A777836129,60,2室1厅,安福苑  [昌平-昌平县城 东环路],45000,60
朝阳公园东侧 地铁边 全南向阳光房 一居室,http://beijing.anjuke.com/prop/view/A776296036,74,1室1厅,燕莎后  [朝阳-酒仙桥 酒仙桥路],94799,74
宋家庄 刘家窑，赵公口 人车分流 客厅南向阳台，卧室飘窗,http://beijing.anjuke.com/prop/view/A765011463,81,2室1厅,顶秀欣园西苑  [丰台-宋家庄 宋庄路],59259,81
丰体时代花园东向两居室 楼层高 视野好,http://beijing.anjuke.com/prop/view/A766748754,89,2室1厅,丰体时代  [丰台-丰台体育馆 丰体南路],50301,89
燕顺路理想新城2室1厅1卫87,http://beijing.anjuke.com/prop/view/A770406628,87,2室1厅,上上城理想新城  [周边-燕郊 燕郊开发区燕灵路与神威北路交接处],26436,87
大兴亦庄核心区域不限购精装公馆，，居家之选,http://beijing.anjuke.com/prop/view/A778263780,168,3室2厅,润枫锦尚  [大兴-旧宫 徳贤路],47500,168
赠送家具家电 飘HOME仅次一套开间,http://beijing.anjuke.com/prop/view/A779369972,40,1室1厅,飘HOME  [朝阳-酒仙桥 朝阳区将台西路19号院],85000,40
"东贸国际三居室业主急售,送装修家具家电,拎包入住,随时看房",http://beijing.anjuke.com/prop/view/A781791989,100,3室2厅,东贸国际花园  [周边-燕郊 燕郊经济技术开发区长安街向东， 长安街东京哈高速出口北侧燕郊经济技术开发区绿岛建材城对面],31000,100
嘉铭桐城 东西双直线通透 两居室 可拎包入住 学区未用,http://beijing.anjuke.com/prop/view/A775061571,114,2室1厅,嘉铭桐城A区  [朝阳-亚运村 北苑路],94736,114
密西花园房源，独立3室无税房源,http://beijing.anjuke.com/prop/view/A765034051,100,3室2厅,密西花园  [密云-密云果园 新北路26号],24392,100
陈经纶名额 户型方正不临街 装修好 付款宽松 看房预约,http://beijing.anjuke.com/prop/view/A778112448,180,3室2厅,东湖湾一期  [朝阳-望京 望京西路],116666,180
城建上河湾 独立三居 精装修 拎包入住 全屋硅藻泥 木地板,http://beijing.anjuke.com/prop/view/A777312384,97,3室2厅,北京城建上河湾  [密云-密云 京沈路],28865,97
新城国际新出东南高层两居室+优质品质+配套Zui完善社区,http://beijing.anjuke.com/prop/view/A773343189,131,2室2厅,新城国际公寓二期雯园  [朝阳-国贸 金桐东路],129622,131
首付130万买四居室！省税省钱省心，3+1靠谱在售,http://beijing.anjuke.com/prop/view/A778280964,108,4室2厅,潮白家园  [周边-燕郊 国贸正东朝通州潮白河友谊大桥东侧100米],25462,108
东普豪宅：使用面积1500平，业主花费三年自建地下四合院！,http://beijing.anjuke.com/prop/view/A772345696,463,8室3厅,东方普罗旺斯  [昌平-北七家 昌平区定泗路88号 京承高速北七家出口直行约1000米],98488,463
东方夏威夷北岸 2室2厅 275万,http://beijing.anjuke.com/prop/view/A782075002,88,2室2厅,夏威夷北岸  [周边-燕郊 燕顺路以西],31214,88
天通中苑 南北通透 电梯3居 明厨明卫 随时看房,http://beijing.anjuke.com/prop/view/A775176531,153,3室2厅,天通中苑东区  [昌平-天通苑 立水桥东二路],36577,153
西单力学胡同平房出  私产不限购 低总价可随时看房,http://beijing.anjuke.com/prop/view/A775977462,14,1室1厅,力学胡同小区  [西城-西单 力学胡同],132867,14
大悦城旁边小悦城 38+38两居室 精装修 有房本 地铁房,http://beijing.anjuke.com/prop/view/A775942883,38,2室1厅,小悦城  [朝阳-朝青 青年路88号],73432,38
高米店地铁旁精装修不限购loft，50年大产权，平层有燃气,http://beijing.anjuke.com/prop/view/A762766118,58,2室2厅,天恒世界集  [大兴-西红门 广平大街],45000,58
30平大厨房+满五年0个税+板厂小学+明厨明卫+客厅两卧朝南,http://beijing.anjuke.com/prop/view/A781945399,252,4室2厅,华城滨河世家  [崇文-广渠门内 夕照寺街16号],111172,252
麦M田三里屯SOHO东北2+1 精装修 高层观景 随时看房,http://beijing.anjuke.com/prop/view/A779551507,151,2室1厅,三里屯SOHO  [朝阳-三里屯 工人体育场8号院],72920,151
曦城国际大三居     精装修        房主诚心出售,http://beijing.anjuke.com/prop/view/A746386362,133,3室2厅,曦城国际  [房山-良乡 长虹西路],36842,133
