楼盘,楼盘链接,地理位置,价格|元/m2
盛恒家园,http://gz.fang.anjuke.com/loupan/250314.html,番禺 亚运新城,12500
荔景华庭,http://gz.fang.anjuke.com/loupan/239308.html,荔湾 中山八路,25943
会展世界城,http://gz.fang.anjuke.com/loupan/239481.html,海珠 琶洲,29565
越秀可逸阳光,http://gz.fang.anjuke.com/loupan/246477.html,番禺 市桥,11000
广百新城邦项目,http://gz.fang.anjuke.com/loupan/245228.html,白云 三元里,5130
流花君庭,http://gz.fang.anjuke.com/loupan/239239.html,荔湾 环市西,38957
景新花园,http://gz.fang.anjuke.com/loupan/239020.html,增城 荔城,8044
中惠壁珑湾,http://gz.fang.anjuke.com/loupan/245243.html,南沙 蕉门河,22000
雅居乐岭会,http://gz.fang.anjuke.com/loupan/240184.html,花都 狮岭,8332
天马河西岸,http://gz.fang.anjuke.com/loupan/245689.html,花都 区府,9417
麓湖御景,http://gz.fang.anjuke.com/loupan/239454.html,越秀 淘金,30000
新天美地花园,http://gz.fang.anjuke.com/loupan/239230.html,增城 荔城,9700
华悦名苑,http://gz.fang.anjuke.com/loupan/249124.html,广州周边 其他,5006
时代花生II,http://gz.fang.anjuke.com/loupan/246825.html,白云 南湖,25328
粤海丽江花园,http://gz.fang.anjuke.com/loupan/239463.html,天河 珠江新城,40599
西湾阳光,http://gz.fang.anjuke.com/loupan/238865.html,荔湾 环市西,24798
蝴蝶谷,http://gz.fang.anjuke.com/loupan/240445.html,南沙 金洲,7311
龙光香悦山,http://gz.fang.anjuke.com/loupan/239217.html,黄埔 科学城,17782
德怡花苑,http://gz.fang.anjuke.com/loupan/239284.html,从化 城郊街,8250
星汇云锦,http://gz.fang.anjuke.com/loupan/239367.html,天河 珠江新城,38840
迪亚春天花园,http://gz.fang.anjuke.com/loupan/240448.html,增城 荔城,13448
天河豪景,http://gz.fang.anjuke.com/loupan/240733.html,天河 其他,21633
银汇华庭,http://gz.fang.anjuke.com/loupan/239194.html,天河 天河北,34457
翰林8090HOUSE,http://gz.fang.anjuke.com/loupan/238956.html,天河 植物园,23809
绿地滨江汇,http://gz.fang.anjuke.com/loupan/246796.html,海珠 工业大道,25409
睿山,http://gz.fang.anjuke.com/loupan/238911.html,天河 天河北,39675
恒大翡翠华庭,http://wh.fang.anjuke.com/loupan/414041.html,汉阳 四新地区,15500
当代光谷梦工场,http://wh.fang.anjuke.com/loupan/413484.html,东湖高新 光谷南,8800
汉口北创客公馆,http://wh.fang.anjuke.com/loupan/414102.html,黄陂 黄陂,9000
WM我们的垂直社交圈,http://wh.fang.anjuke.com/loupan/414260.html,汉阳 王家湾,16000
恒大金碧天下,http://wh.fang.anjuke.com/loupan/252110.html,武汉周边 鄂州,5500
吾行里,http://wh.fang.anjuke.com/loupan/411729.html,青山 建二,13000
江南·花山郡,http://wh.fang.anjuke.com/loupan/414510.html,江夏 东湖高新,8200
杰翔·运铎嘉园,http://wh.fang.anjuke.com/loupan/414473.html,蔡甸 蔡甸,4700
中交·锦立方,http://wh.fang.anjuke.com/loupan/249377.html,青山 红钢城,8300
金沙泊岸,http://wh.fang.anjuke.com/loupan/409203.html,武昌 沙湖,21000
福星惠誉红桥城,http://wh.fang.anjuke.com/loupan/251466.html,江岸 后湖,12500
金桥庭院,http://wh.fang.anjuke.com/loupan/411992.html,江岸 后湖,13600
盛世港湾,http://wh.fang.anjuke.com/loupan/412007.html,汉南 汉南,5200
光谷华清园,http://wh.fang.anjuke.com/loupan/252365.html,武汉周边 鄂州,3300
碧桂园生态城左岸,http://wh.fang.anjuke.com/loupan/247438.html,洪山 光谷,13000
江湾华庭,http://wh.fang.anjuke.com/loupan/247431.html,汉南 汉南,4400
二七国际,http://wh.fang.anjuke.com/loupan/400895.html,江岸 二七,15000
碧桂园泰富城,http://wh.fang.anjuke.com/loupan/411169.html,经济开发区 经济开发区,15500
海联时代广场,http://wh.fang.anjuke.com/loupan/298052.html,硚口 古田,11000
金银湖1号院,http://wh.fang.anjuke.com/loupan/247068.html,东西湖 金银湖,13500
现代光谷世贸中心,http://wh.fang.anjuke.com/loupan/413543.html,东湖高新 光谷南,9700
新力琥珀园,http://wh.fang.anjuke.com/loupan/414337.html,汉阳 四新地区,13500
平吉上苑,http://sz.fang.anjuke.com/loupan/251997.html,龙岗 平湖,42000
卓越城二期,http://sz.fang.anjuke.com/loupan/413342.html,福田 梅林,58000
中粮世家,http://sz.fang.anjuke.com/loupan/237902.html,坪山区 坑梓,45000
前海湖山壹号,http://sz.fang.anjuke.com/loupan/219627.html,宝安 福永,90000
荣盛时代国际,http://jn.fang.anjuke.com/loupan/297681.html,历城 全福立交桥,9500
普利景山,http://jn.fang.anjuke.com/loupan/244026.html,历下 经十路,9000
泰和名都,http://jn.fang.anjuke.com/loupan/249906.html,商河 商河,3500
三发尚河名郡,http://jn.fang.anjuke.com/loupan/249901.html,商河 商河,4500
泰悦赫府,http://jn.fang.anjuke.com/loupan/251766.html,历下 奥体中心,19000
温泉小镇,http://jn.fang.anjuke.com/loupan/244064.html,历城 机场路,7300
海信龙奥九号,http://jn.fang.anjuke.com/loupan/244060.html,历下 奥体中心,14000
汉峪金谷金寓,http://jn.fang.anjuke.com/loupan/415471.html,高新 汉峪片区,12000
邦华吉祥居,http://jn.fang.anjuke.com/loupan/409401.html,平阴 平阴,3200
梦世界润园,http://jn.fang.anjuke.com/loupan/251987.html,槐荫 西客站,12500
腾跃苑,http://jn.fang.anjuke.com/loupan/249512.html,平阴 平阴,4000
国华新经典,http://jn.fang.anjuke.com/loupan/264192.html,市中 二环南路,17000
明湖白鹭郡,http://jn.fang.anjuke.com/loupan/244007.html,高新 国际会展中心,14000
众安嘉润公馆,http://hz.fang.anjuke.com/loupan/238560.html,萧山 钱江世纪城,20000
凯德湖墅,http://hz.fang.anjuke.com/loupan/252649.html,拱墅 市中心,45000
置鼎明珠1号,http://hz.fang.anjuke.com/loupan/251172.html,江干 丁桥,13000
恒和依山郡,http://hz.fang.anjuke.com/loupan/238777.html,余杭 老余杭,11000
中天珺府,http://hz.fang.anjuke.com/loupan/250558.html,杭州周边 临安,10000
龙山公馆,http://hz.fang.anjuke.com/loupan/415873.html,杭州周边 其他,7000
新弘斯维登森林度假村,http://hz.fang.anjuke.com/loupan/400898.html,余杭 良渚,13000
东厦东港花苑,http://hz.fang.anjuke.com/loupan/238482.html,余杭 临平,9500
理想康城国际,http://hz.fang.anjuke.com/loupan/239057.html,余杭 临平,17000
万科郡西澜山,http://hz.fang.anjuke.com/loupan/400807.html,余杭 良渚,24500
东方一号,http://hz.fang.anjuke.com/loupan/297902.html,萧山 钱江世纪城,35000
融创瑷颐湾,http://hz.fang.anjuke.com/loupan/250274.html,余杭 勾庄,25000
金都夏宫,http://hz.fang.anjuke.com/loupan/238340.html,余杭 临平,15000
通和十二橡树颂居,http://hz.fang.anjuke.com/loupan/416279.html,余杭 星桥,15000
东方御府,http://hz.fang.anjuke.com/loupan/248040.html,江干 钱江新城,40000
美莱国际中心,http://hz.fang.anjuke.com/loupan/400633.html,余杭 临平,15000
金地广场,http://hz.fang.anjuke.com/loupan/297890.html,西湖 三墩,22000
锦尚唐宁郡,http://hz.fang.anjuke.com/loupan/240736.html,杭州周边 临安,9600
明华名港城二期,http://hz.fang.anjuke.com/loupan/416269.html,萧山 瓜沥,11000
潮闻天下,http://hz.fang.anjuke.com/loupan/250445.html,萧山 江东新城,18000
招商九龙仓学院北麓,http://hz.fang.anjuke.com/loupan/409262.html,拱墅 申花,33000
华瑞晴庐,http://hz.fang.anjuke.com/loupan/240625.html,萧山 萧山老城,24500
万科大都会79号,http://hz.fang.anjuke.com/loupan/298046.html,江干 钱江新城,57984
中昂锦绣,http://cq.fang.anjuke.com/loupan/250222.html,巴南 鱼洞,5000
国瑞爱与山,http://cq.fang.anjuke.com/loupan/248536.html,大渡口 双山,9400
远洋城,http://cq.fang.anjuke.com/loupan/411348.html,九龙坡 石桥铺,12500
北京城建龙樾湾,http://cq.fang.anjuke.com/loupan/247571.html,九龙坡 华岩新城,8600
日月光解放碑1号,http://cq.fang.anjuke.com/loupan/239004.html,渝中 解放碑,29000
铭鑫鼎尚源,http://cq.fang.anjuke.com/loupan/415552.html,大渡口 建桥工业园,8200
云图中心,http://cq.fang.anjuke.com/loupan/413780.html,渝北 鸳鸯,5500
中航九悦荟,http://cq.fang.anjuke.com/loupan/411429.html,九龙坡 二郎,10500
华宇天宫花城,http://cq.fang.anjuke.com/loupan/240838.html,渝北 龙头寺,16500
尚江宸溪香苑,http://cq.fang.anjuke.com/loupan/251356.html,九龙坡 西彭,4200
协信公馆,http://cq.fang.anjuke.com/loupan/239358.html,渝中 两路口,19000
巴国龙庭,http://cq.fang.anjuke.com/loupan/251000.html,九龙坡 九龙园区,7900
武夷滨江,http://cq.fang.anjuke.com/loupan/239535.html,南岸 南滨路,13000
洋世达南滨特区,http://cq.fang.anjuke.com/loupan/253102.html,南岸 南滨路,20000
蓝石大溪地,http://jn.fang.anjuke.com/loupan/244002.html,槐荫 西客站,9800
诺德名城,http://jn.fang.anjuke.com/loupan/243996.html,章丘 章丘,11000
保利海德公馆,http://jn.fang.anjuke.com/loupan/243985.html,历城 洪楼,16000
绿地IFC中央公馆,http://jn.fang.anjuke.com/loupan/414929.html,历下 工业南路,23900
恒大天玺,http://jn.fang.anjuke.com/loupan/251409.html,槐荫 西客站,14500
明湖广场,http://jn.fang.anjuke.com/loupan/251638.html,天桥 北园大街,12000
恒生艾特公寓,http://jn.fang.anjuke.com/loupan/414917.html,槐荫 西市场,8500
银丰公馆,http://jn.fang.anjuke.com/loupan/252696.html,长清 长清,12000
中垠雅苑,http://jn.fang.anjuke.com/loupan/264151.html,高新 国际会展中心,20500
鲁能领秀城贵和金街,http://jn.fang.anjuke.com/loupan/415558.html,市中 二环南路,12000
中建瀛园,http://jn.fang.anjuke.com/loupan/244092.html,长清 长清,9000
海亮艺术华府,http://jn.fang.anjuke.com/loupan/250839.html,槐荫 西客站,16000
四建美林花园,http://jn.fang.anjuke.com/loupan/406090.html,市中 二环南路,21000
中海紫藤苑,http://hz.fang.anjuke.com/loupan/238367.html,西湖 三墩,15150
滨江金色江南,http://hz.fang.anjuke.com/loupan/250687.html,萧山 钱江世纪城,17000
郡原九衡公寓,http://hz.fang.anjuke.com/loupan/238726.html,余杭 良渚,8411
中豪四季公馆,http://hz.fang.anjuke.com/loupan/238563.html,江干 丁桥,12448
星桥桂花城,http://hz.fang.anjuke.com/loupan/238823.html,余杭 星桥,8000
大家多立方,http://hz.fang.anjuke.com/loupan/238426.html,江干 九堡,15000
盈都揽悦,http://hz.fang.anjuke.com/loupan/240348.html,下沙 大学城北,7317
顺发旺角城二期,http://hz.fang.anjuke.com/loupan/244693.html,萧山 萧山新城,20000
绿都金域兰庭,http://hz.fang.anjuke.com/loupan/238692.html,萧山 闻堰,8500
滨江钱塘印象,http://hz.fang.anjuke.com/loupan/298183.html,上城 钱江新城,43000
华鼎君临天下城,http://hz.fang.anjuke.com/loupan/238799.html,余杭 临平,15000
文溪鼎园,http://hz.fang.anjuke.com/loupan/240018.html,西湖 市中心,35000
美达北城天地,http://hz.fang.anjuke.com/loupan/238672.html,拱墅 桥西,8437
和达城,http://hz.fang.anjuke.com/loupan/238459.html,下沙 下沙,14464
众安启航社,http://hz.fang.anjuke.com/loupan/238370.html,萧山 闻堰,7770
绿城丁香公馆,http://hz.fang.anjuke.com/loupan/238436.html,萧山 湘湖,12668
桔子里,http://hz.fang.anjuke.com/loupan/240254.html,西湖 三墩,6300
雍景湾,http://hz.fang.anjuke.com/loupan/251195.html,拱墅 市中心,23000
佳兆业君汇上品,http://hz.fang.anjuke.com/loupan/250409.html,余杭 临平,11500
亿丰蔚蓝郡,http://hz.fang.anjuke.com/loupan/238968.html,余杭 良渚,11031
龙湖滟澜山,http://hz.fang.anjuke.com/loupan/238463.html,下沙 金沙湖,15955
豪波西溪润景,http://hz.fang.anjuke.com/loupan/298201.html,余杭 西溪,6900
西墅锦园,http://hz.fang.anjuke.com/loupan/238907.html,杭州周边 临安,6303
天阳观筑,http://hz.fang.anjuke.com/loupan/238472.html,江干 丁桥,11797
帝凯帝景园,http://hz.fang.anjuke.com/loupan/238460.html,萧山 江东新城,7000
尚港华府,http://tj.fang.anjuke.com/loupan/252634.html,武清 汊沽港,8800
天房天泰,http://tj.fang.anjuke.com/loupan/411358.html,河北 宜白路,33000
天房六合国际,http://tj.fang.anjuke.com/loupan/298353.html,河西 陈塘庄,41500
天房天拖,http://tj.fang.anjuke.com/loupan/252525.html,南开 天拖,43000
紫金庄园,http://tj.fang.anjuke.com/loupan/414518.html,滨海新区 大港,6600
中海学府公馆,http://tj.fang.anjuke.com/loupan/401093.html,河西 陈塘庄,30000
天房光合谷泊雅苑,http://tj.fang.anjuke.com/loupan/414606.html,静海 团泊湖,10700
海泰海港花园,http://tj.fang.anjuke.com/loupan/244538.html,滨海新区 新港居住区,8500
枫水湾,http://tj.fang.anjuke.com/loupan/256985.html,北辰 小淀镇,9500
新湖公寓,http://tj.fang.anjuke.com/loupan/247582.html,静海 静海城区,7500
新梅江锦秀里,http://tj.fang.anjuke.com/loupan/264042.html,河西 新梅江,35000
海泰都市汇,http://tj.fang.anjuke.com/loupan/416290.html,西青 李七庄,13000
云璟公寓,http://tj.fang.anjuke.com/loupan/415409.html,西青 张家窝,11000
静壹城,http://tj.fang.anjuke.com/loupan/297855.html,静海 静海经济开发区,9000
泊林小镇,http://tj.fang.anjuke.com/loupan/415522.html,静海 静海经济开发区,3300
瓏府壹号,http://tj.fang.anjuke.com/loupan/251804.html,蓟县 城关,12000
嘉华帕醍欧,http://tj.fang.anjuke.com/loupan/250321.html,蓟县 府君山公园,14000
悦蘭台,http://tj.fang.anjuke.com/loupan/264067.html,北辰 双街镇,20000
湯臣津湾一品,http://tj.fang.anjuke.com/loupan/264124.html,和平 和平路,45000
海泰渤龙湾,http://tj.fang.anjuke.com/loupan/297631.html,滨海新区 开发区,10000
蕴海家园,http://tj.fang.anjuke.com/loupan/297820.html,静海 静海城区,10500
和泓四季公馆,http://tj.fang.anjuke.com/loupan/389834.html,东丽 津滨大道,17000
金地艺城悦府,http://tj.fang.anjuke.com/loupan/415154.html,津南 辛庄镇,24000
珑昕泽第,http://hz.fang.anjuke.com/loupan/240084.html,余杭 临平,9302
欣盛东方郡,http://hz.fang.anjuke.com/loupan/238827.html,滨江 中兴,27232
恒远锦绣兰庭,http://hz.fang.anjuke.com/loupan/239052.html,杭州周边 富阳,15819
元丰庆春御府,http://hz.fang.anjuke.com/loupan/238576.html,江干 市中心,37855
首业御东湾,http://hz.fang.anjuke.com/loupan/246403.html,萧山 萧山新城,7500
华业南岸晶都,http://hz.fang.anjuke.com/loupan/238857.html,滨江 长河,15940
钱江BLOCK,http://hz.fang.anjuke.com/loupan/240710.html,之江 之江,9711
领骏世界,http://hz.fang.anjuke.com/loupan/238670.html,下城 市中心,19495
天乐浅隐山,http://hz.fang.anjuke.com/loupan/239967.html,萧山 南部卧城,15146
润和亿城嘉园,http://hz.fang.anjuke.com/loupan/238720.html,下城 华丰,13440
翡翠岛别墅,http://hz.fang.anjuke.com/loupan/239049.html,杭州周边 淳安,15000
浙江商会大厦,http://hz.fang.anjuke.com/loupan/412947.html,萧山 钱江世纪城,22499
金日紫爵公寓,http://hz.fang.anjuke.com/loupan/238533.html,萧山 萧山老城,18478
潮人汇大厦,http://hz.fang.anjuke.com/loupan/238737.html,滨江 中兴,15972
观邸国际寓所二期,http://hz.fang.anjuke.com/loupan/244563.html,滨江 浦沿,15385
绿都嘉丰公馆,http://hz.fang.anjuke.com/loupan/239874.html,萧山 南部卧城,8806
绿城元福里,http://hz.fang.anjuke.com/loupan/298111.html,下城 市中心,100000
金禾嘉园,http://hz.fang.anjuke.com/loupan/238782.html,杭州周边 临安,6596
原筑壹号写字楼,http://hz.fang.anjuke.com/loupan/412940.html,江干 城东新城,10000
山水水印林语,http://hz.fang.anjuke.com/loupan/239838.html,杭州周边 富阳,22136
北郡中央公馆,http://hz.fang.anjuke.com/loupan/246205.html,余杭 塘栖,5702
美好桂花溪园,http://hz.fang.anjuke.com/loupan/240540.html,余杭 瓶窑,8300
上亿彩虹郡,http://hz.fang.anjuke.com/loupan/251583.html,余杭 勾庄,9000
远景城市e谷,http://hz.fang.anjuke.com/loupan/298177.html,余杭 临平,3900
东湖睿园,http://wh.fang.anjuke.com/loupan/253215.html,武昌 武昌老城区,14000
中国铁建1818中心,http://wh.fang.anjuke.com/loupan/298297.html,武昌 武昌老城区,19000
海马公园,http://wh.fang.anjuke.com/loupan/252478.html,江汉 王家墩,16000
龙城·懿品,http://wh.fang.anjuke.com/loupan/247764.html,黄陂 盘龙城,5811
三金华都,http://wh.fang.anjuke.com/loupan/247281.html,江汉 新华路,14000
金谷鑫城,http://wh.fang.anjuke.com/loupan/247794.html,武汉周边 鄂州,2800
万科金域蓝湾,http://wh.fang.anjuke.com/loupan/247744.html,经济开发区 经济开发区,14500
中胜国际,http://wh.fang.anjuke.com/loupan/389734.html,江岸 二七,12000
顶琇西北湖,http://wh.fang.anjuke.com/loupan/252611.html,江汉 王家墩,28000
嬉空间北回归线,http://wh.fang.anjuke.com/loupan/247426.html,黄陂 黄陂,6531
湘隆时代大公馆,http://wh.fang.anjuke.com/loupan/247347.html,汉阳 沌口开发区,9694
兆麟育龙湾,http://wh.fang.anjuke.com/loupan/247833.html,洪山 光谷,6734
佰昌御墅,http://wh.fang.anjuke.com/loupan/253148.html,黄陂 盘龙城,10500
中建康城,http://wh.fang.anjuke.com/loupan/247249.html,洪山 光谷,9444
金岛金桥壹号,http://wh.fang.anjuke.com/loupan/250350.html,江岸 后湖,13500
人信太子湾,http://wh.fang.anjuke.com/loupan/247021.html,汉阳 沌口开发区,8509
新地盛世东方,http://wh.fang.anjuke.com/loupan/247092.html,江岸 后湖,10924
维佳武昌府二期和郡,http://wh.fang.anjuke.com/loupan/247149.html,洪山 南湖,9550
陌陌屋,http://wh.fang.anjuke.com/loupan/249361.html,江岸 后湖,12514
新凯御景湾,http://wh.fang.anjuke.com/loupan/247318.html,洪山 光谷,13146
大华南湖公园世家,http://wh.fang.anjuke.com/loupan/247755.html,洪山 南湖,12628
欧林湾,http://wh.fang.anjuke.com/loupan/247366.html,武昌 沙湖,14706
东原晴天见商铺,http://wh.fang.anjuke.com/loupan/411508.html,洪山 南湖,35000
博雅中南,http://wh.fang.anjuke.com/loupan/247227.html,武昌 水果湖,12637
金地圣爱米伦,http://wh.fang.anjuke.com/loupan/247019.html,洪山 南湖,14614
盘龙水岸沁园,http://wh.fang.anjuke.com/loupan/247300.html,黄陂 盘龙城,5476
武汉万达公馆,http://wh.fang.anjuke.com/loupan/247115.html,武昌 徐东,21171
华亚新领地,http://wh.fang.anjuke.com/loupan/247172.html,武昌 武昌老城区,10869
八方明珠,http://wh.fang.anjuke.com/loupan/248484.html,东西湖 吴家山,7198
招商雍华府,http://wh.fang.anjuke.com/loupan/247400.html,洪山 南湖,10826
逸景南湾寓上湖,http://wh.fang.anjuke.com/loupan/247301.html,洪山 南湖,9536
晋合金桥世家,http://wh.fang.anjuke.com/loupan/247246.html,江岸 后湖,13440
伊顿阳光朴墅,http://wh.fang.anjuke.com/loupan/383140.html,江夏 江夏,8000
金龙公馆,http://wh.fang.anjuke.com/loupan/247416.html,汉阳 七里庙,10180
都市经典,http://wh.fang.anjuke.com/loupan/247381.html,武昌 徐东,12312
恒达盘龙湾桂苑,http://wh.fang.anjuke.com/loupan/247162.html,黄陂 盘龙城,8097
哥特帝景三期,http://wh.fang.anjuke.com/loupan/247304.html,黄陂 黄陂,5588
太子花苑,http://wh.fang.anjuke.com/loupan/250124.html,武汉周边 鄂州,2803
金泽雅都,http://wh.fang.anjuke.com/loupan/247261.html,黄陂 黄陂,3333
九坤·秦南都汇,http://wh.fang.anjuke.com/loupan/247252.html,武昌 徐东,13194
中御公馆,http://wh.fang.anjuke.com/loupan/248489.html,硚口 古田,18000
银湖翡翠二期倚湖轩,http://wh.fang.anjuke.com/loupan/247112.html,东西湖 金银湖,9000
恺得南湖国际,http://wh.fang.anjuke.com/loupan/251457.html,洪山 街道口,9650
宝安中国院子,http://wh.fang.anjuke.com/loupan/247391.html,黄陂 盘龙城,13600
阳光海滨花园,http://sz.fang.anjuke.com/loupan/236899.html,南山 后海,96920
波托菲诺纯水岸九期,http://sz.fang.anjuke.com/loupan/239978.html,南山 华侨城,98165
燕晗山居,http://sz.fang.anjuke.com/loupan/246706.html,南山 华侨城,121399
天御香山花园,http://sz.fang.anjuke.com/loupan/240264.html,福田 香蜜湖,94794
君临天下,http://sz.fang.anjuke.com/loupan/228079.html,福田 新洲,64818
富通城十锦,http://sz.fang.anjuke.com/loupan/246327.html,宝安 西乡,49720
云顶嘉园,http://sz.fang.anjuke.com/loupan/246105.html,宝安 新安,43750
迷你新居,http://sz.fang.anjuke.com/loupan/216000.html,福田 梅林,39603
京基御景印象,http://sz.fang.anjuke.com/loupan/250739.html,坪山区 坪山,10203
懿德轩,http://sz.fang.anjuke.com/loupan/237069.html,南山 华侨城,211082
万科公园6号,http://sz.fang.anjuke.com/loupan/238005.html,龙岗 布吉,48000
万科翡丽郡,http://sz.fang.anjuke.com/loupan/240802.html,宝安 沙井,34689
福盈中央山,http://sz.fang.anjuke.com/loupan/250614.html,光明新区 公明,22510
祥祺滨河名苑,http://sz.fang.anjuke.com/loupan/250743.html,坪山区 坪山,7754
同和悦园,http://sz.fang.anjuke.com/loupan/252714.html,宝安 福永,22244
宏发君域,http://sz.fang.anjuke.com/loupan/246966.html,宝安 松岗,24232
海航城,http://sz.fang.anjuke.com/loupan/241061.html,龙岗 龙岗中心城,39000
同创新作,http://sz.fang.anjuke.com/loupan/249499.html,龙岗 平湖,23113
宏发嘉域,http://sz.fang.anjuke.com/loupan/252509.html,光明新区 公明,23088
华晖云门,http://sz.fang.anjuke.com/loupan/250781.html,南山 西丽,68000
全盛紫云庭,http://sz.fang.anjuke.com/loupan/246745.html,龙岗 龙岗中心城,31743
横岗花半里薇博,http://sz.fang.anjuke.com/loupan/236904.html,龙岗 横岗,17176
阳基春天里,http://sz.fang.anjuke.com/loupan/246231.html,龙岗 布吉,25166
龙华花半里,http://sz.fang.anjuke.com/loupan/236944.html,龙华区 龙华,35553
山海韵,http://sz.fang.anjuke.com/loupan/248869.html,南山 蛇口,50300
滨海阳光,http://sz.fang.anjuke.com/loupan/236687.html,大鹏新区 大鹏,4772
四季御园,http://sz.fang.anjuke.com/loupan/246241.html,罗湖 莲塘,46806
珑瑜,http://sz.fang.anjuke.com/loupan/237781.html,龙岗 龙岗中心城,21929
宝能悦澜山,http://sz.fang.anjuke.com/loupan/248015.html,龙岗 龙岗中心城,32034
华瑞湘湖美地,http://hz.fang.anjuke.com/loupan/238504.html,萧山 湘湖,12981
天阳明朗,http://hz.fang.anjuke.com/loupan/250352.html,江干 丁桥,14000
坤大玉龙湾,http://hz.fang.anjuke.com/loupan/298148.html,萧山 江东新城,8274
中粮晓悦公馆,http://hz.fang.anjuke.com/loupan/249599.html,下城 市中心,10000
贝利栖溪公馆,http://hz.fang.anjuke.com/loupan/238414.html,余杭 塘栖,8193
朗诗未来街区东园,http://hz.fang.anjuke.com/loupan/251251.html,余杭 临平,9000
万科北宸之光,http://hz.fang.anjuke.com/loupan/248860.html,余杭 桥西,15000
万华1号,http://hz.fang.anjuke.com/loupan/298192.html,余杭 星桥,6600
水乡华庭,http://hz.fang.anjuke.com/loupan/238403.html,余杭 塘栖,7738
绿城乌镇雅园,http://hz.fang.anjuke.com/loupan/400537.html,杭州周边 其他,16000
昆仑天籁,http://hz.fang.anjuke.com/loupan/238548.html,江干 丁桥,12382
绿城翡翠湾,http://hz.fang.anjuke.com/loupan/246425.html,余杭 西溪,13000
金溪园,http://hz.fang.anjuke.com/loupan/244344.html,杭州周边 临安,6500
金地自在城,http://hz.fang.anjuke.com/loupan/238529.html,西湖 三墩,17186
华鸿罗兰春天,http://hz.fang.anjuke.com/loupan/238400.html,江干 九堡,14113
绿城丽江公寓,http://hz.fang.anjuke.com/loupan/238511.html,江干 九堡,19260
星洲竹影翠庭,http://hz.fang.anjuke.com/loupan/238550.html,余杭 闲林,6013
创美华彩国际,http://hz.fang.anjuke.com/loupan/239961.html,西湖 三墩,6798
金地申花里,http://hz.fang.anjuke.com/loupan/249941.html,拱墅 申花,20000
集美岸上蓝山,http://hz.fang.anjuke.com/loupan/239087.html,余杭 闲林,11000
高运莱茵传奇,http://hz.fang.anjuke.com/loupan/252711.html,萧山 萧山新城,19000
天誉半岛花园,http://gz.fang.anjuke.com/loupan/240816.html,海珠 滨江,60000
骏御华庭,http://gz.fang.anjuke.com/loupan/239076.html,白云 三元里,34000
保利葛洲坝海德公馆,http://gz.fang.anjuke.com/loupan/411903.html,荔湾 芳村,50000
君荟名轩,http://gz.fang.anjuke.com/loupan/252686.html,荔湾 环市西,38000
万科兰乔圣菲,http://gz.fang.anjuke.com/loupan/239618.html,花都 区府,12000
信业悦都荟,http://gz.fang.anjuke.com/loupan/252733.html,番禺 华南,22000
南天名苑,http://gz.fang.anjuke.com/loupan/249613.html,番禺 洛溪,41000
保利金融大都汇,http://gz.fang.anjuke.com/loupan/410995.html,天河 车陂,43000
碧桂园翡翠山,http://gz.fang.anjuke.com/loupan/414908.html,广州周边 佛山,18000
金凤皇庭,http://gz.fang.anjuke.com/loupan/248694.html,增城 荔城,14000
江源半岛花园,http://gz.fang.anjuke.com/loupan/239384.html,天河 车陂,56000
敏捷华美国际,http://gz.fang.anjuke.com/loupan/248610.html,番禺 华南,28000
珠江颐德公馆,http://gz.fang.anjuke.com/loupan/239441.html,天河 珠江新城,130000
港航华庭,http://gz.fang.anjuke.com/loupan/250978.html,南沙 金洲,46000
新天半山,http://gz.fang.anjuke.com/loupan/247007.html,白云 南湖,45000
雅居乐汇通国际公寓,http://gz.fang.anjuke.com/loupan/400659.html,花都 区府,13000
花创社区,http://gz.fang.anjuke.com/loupan/415547.html,黄埔 科学城,15000
珠控国际中心,http://gz.fang.anjuke.com/loupan/412885.html,天河 珠江新城,42000
碧桂园森林城市,http://gz.fang.anjuke.com/loupan/412435.html,广州周边 其他,22000
巴南新鸥鹏教育城,http://cq.fang.anjuke.com/loupan/297533.html,巴南 龙洲湾,5200
江厦星光汇,http://cq.fang.anjuke.com/loupan/415296.html,九龙坡 杨家坪,13000
启迪协信·星澜汇,http://cq.fang.anjuke.com/loupan/246835.html,巴南 鱼洞,8000
恒大世纪城,http://cq.fang.anjuke.com/loupan/409282.html,渝北 照母山,14000
国博城,http://cq.fang.anjuke.com/loupan/253104.html,渝北 两江新区,11100
万科西城公园里,http://cq.fang.anjuke.com/loupan/249219.html,九龙坡 石坪桥,9900
保利爱尚里,http://cq.fang.anjuke.com/loupan/247673.html,九龙坡 石坪桥,10000
万科金域学府,http://cq.fang.anjuke.com/loupan/250747.html,南岸 学府路,13000
俊峰香格里拉,http://cq.fang.anjuke.com/loupan/238651.html,沙坪坝 磁器口,15000
首创城,http://cq.fang.anjuke.com/loupan/252906.html,沙坪坝 双碑,9700
正源福源,http://cq.fang.anjuke.com/loupan/389584.html,北碚 蔡家,5300
上城中央,http://cq.fang.anjuke.com/loupan/252505.html,北碚 蔡家,6500
渝兴嘉悦山水,http://cq.fang.anjuke.com/loupan/297514.html,渝北 礼嘉,8000
恒大御龙天峰,http://cq.fang.anjuke.com/loupan/248590.html,江北 北滨路,18000
金瓯理工国际,http://cq.fang.anjuke.com/loupan/383740.html,渝北 两江新区,4900
融创白象街,http://cq.fang.anjuke.com/loupan/252010.html,渝中 解放碑,30000
